isin,issuer,maturity,currency,us_onshore
HK0000611654,Airport Authority Hong Kong,16-Jun-27,HKD,No
HK0000646999,Airport Authority Hong Kong,30-Sep-27,HKD,No
HK0000867835,Airport Authority Hong Kong,16-Aug-27,HKD,No
HK0000971520,Airport Authority Hong Kong,9-Jul-27,HKD,No
HK0001092268,Airport Authority Hong Kong,14-Jan-35,CNY,No
HK0001092276,Airport Authority Hong Kong,14-Jan-55,CNY,No
HK0001092532,Airport Authority Hong Kong,14-Jan-28,HKD,No
HK0001092540,Airport Authority Hong Kong,14-Jan-30,HKD,No
HK0001092557,Airport Authority Hong Kong,14-Jan-35,HKD,No
HK0001092565,Airport Authority Hong Kong,14-Jan-55,HKD,No
USY000AKAB30,Airport Authority Hong Kong,12-Jan-27,USD,Yes
USY000AKAC13,Airport Authority Hong Kong,12-Jan-32,USD,Yes
USY000AKAD95,Airport Authority Hong Kong,12-Jan-52,USD,Yes
USY000AKAE78,Airport Authority Hong Kong,12-Jan-62,USD,Yes
USY000AKAF44,Airport Authority Hong Kong,12-Jan-28,USD,Yes
USY000AKAG27,Airport Authority Hong Kong,12-Jan-30,USD,Yes
USY000AKAH00,Airport Authority Hong Kong,12-Jan-33,USD,Yes
USY000AKAK39,Airport Authority Hong Kong,15-Jul-28,USD,Yes
USY000AKAL12,Airport Authority Hong Kong,15-Jul-30,USD,Yes
USY000AKAM94,Airport Authority Hong Kong,15-Jan-35,USD,Yes
USY00284AW20,Airport Authority Hong Kong,4-Feb-31,USD,Yes
USY00284AX03,Airport Authority Hong Kong,4-Feb-51,USD,Yes
XS1934321404,Airport Authority Hong Kong,21-Feb-29,USD,Yes
XS2264055182,Airport Authority Hong Kong,0-Jan-00,USD,Yes
USG23530AB75,CNOOC,2-May-42,USD,No
XS2971601336,GREENTOWN CHINA HOLDINGS,24-Feb-28,USD,No
US50066CAD11,Korea Gas Corporation,20-Jan-42,USD,No
US50066CAN92,Korea Gas Corporation,20-Jul-27,USD,No
US50066CAP41,Korea Gas Corporation,16-Jul-29,USD,No
US50066CAR07,Korea Gas Corporation,13-Jul-31,USD,No
US50066CAT62,Korea Gas Corporation,13-Jul-27,USD,No
US50066CAU36,Korea Gas Corporation,5-Jul-28,USD,No
CH0485445966,Korea Hydro & Nuclear Power Co Ltd,19-Jul-27,CHF,No
USY4899GCJ05,Korea Hydro & Nuclear Power Co Ltd,25-Jul-27,USD,No
USY4899GFA68,Korea Hydro & Nuclear Power Co Ltd,27-Jul-27,USD,No
USY4899GGB33,Korea Hydro & Nuclear Power Co Ltd,18-Jul-28,USD,No
USY4899GGX52,Korea Hydro & Nuclear Power Co Ltd,29-Jul-29,USD,No
XS3113268307,Korea Hydro & Nuclear Power Co Ltd,30-Jul-30,USD,No
USG60744AG74,MGM China Holdings Limited,1-Feb-27,USD,No
USG60744AJ14,MGM China Holdings Limited,26-Jun-31,USD,No
HK0001293205,MTR Corp,28-Apr-31,HKD,No
HK0001293213,MTR Corp,28-Apr-36,HKD,No
HK0001293221,MTR Corp,28-Apr-56,HKD,No
AU3CB0330777,MTR Corp,29-Jan-31,AUD,No
AU3CB0330785,MTR Corp,29-Jan-38,AUD,No
HK0000985314,MTR Corp,18-Jan-34,HKD,No
HK0000997624,MTR Corp,1-Mar-34,HKD,No
HK0001055638,MTR Corp,20-Sep-54,CNY,No
HK0001121083,MTR Corp,1-Apr-30,USD,No
HK0001127510,MTR Corp,1-Apr-35,USD,No
HK0001127528,MTR Corp,1-Apr-55,USD,No
XS2213668085,MTR Corp,19-Aug-30,USD,No
US69033DAE76,OCBC,8-Sep-35,USD,No
XS2490811168,OCBC,15-Jun-32,USD,No
XS2823260604,OCBC,21-May-34,USD,No
XS3307229321,OCBC,4-Mar-36,USD,No
XS3386635448,OCBC,26-May-29,USD,No
XS1120709826,REPUBLIC OF KAZAKHSTAN,14-Oct-44,USD,Yes
XS1263139856,REPUBLIC OF KAZAKHSTAN,21-Jul-45,USD,Yes
XS1901718335,REPUBLIC OF KAZAKHSTAN,9-Nov-28,EUR,No
XS2050933626,REPUBLIC OF KAZAKHSTAN,30-Sep-34,EUR,No
XS3093655341,REPUBLIC OF KAZAKHSTAN,1-Jul-32,USD,Yes
XS3093658014,REPUBLIC OF KAZAKHSTAN,1-Jul-37,USD,Yes
XS3212533262,REPUBLIC OF KAZAKHSTAN,28-Oct-30,USD,Yes
US922646AS37,Republic of Venezuela,15-Sep-27,USD,No
US922646BL74,Republic of Venezuela,13-Jan-34,USD,No
USP17625AB33,Republic of Venezuela,7-May-28,USD,No
USP17625AD98,Republic of Venezuela,5-Aug-31,USD,No
USP97475AJ95,Republic of Venezuela,31-Mar-38,USD,No
